Code,Name,ZipCode
4119707,PLANALTINA DO PARANA,87860
4119806,PLANALTO,85750
4119905,PONTA GROSSA,84000
4119954,PONTAL DO PARANA,83255
4120002,PORECATU,86160
4120101,PORTO AMAZONAS,84140
4120150,PORTO BARREIRO,85345
4120200,PORTO RICO,87950
4120309,PORTO VITORIA,84610
4120333,PRADO FERREIRA,86618
4120358,PRANCHITA,85730
4120408,PRESIDENTE CASTELO BRANCO,87180
4120507,PRIMEIRO DE MAIO,86140
4120606,PRUDENTOPOLIS,84400
4120655,QUARTO CENTENARIO,87365
4120705,QUATIGUA,86450
4120804,QUATRO BARRAS,83420
4120853,QUATRO PONTES,85940
4120903,QUEDAS DO IGUACU,85460
4121000,QUERENCIA DO NORTE,87930
4121109,QUINTA DO SOL,87265
4121208,QUITANDINHA,83840
4121257,RAMILANDIA,85888
4121307,RANCHO ALEGRE,86290
4121356,RANCHO ALEGRE D OESTE,87395
4121406,REALEZA,85770
4121505,REBOUCAS,84550
4121604,RENASCENCA,85610
4121703,RESERVA,84320
4121752,RESERVA DO IGUACU,85195
4121802,RIBEIRAO CLARO,86410
4121901,RIBEIRAO DO PINHAL,86490
4122008,RIO AZUL,84560
4122107,RIO BOM,86830
4122156,RIO BONITO DO IGUACU,85340
4122172,RIO BRANCO DO IVAI,86848
4122206,RIO BRANCO DO SUL,83540
4122305,RIO NEGRO,83880
4122404,ROLANDIA,86600
4122503,RONCADOR,87320
4122602,RONDON,87800
4122651,ROSARIO DO IVAI,86850
4122701,SABAUDIA,86720
4122800,SALGADO FILHO,85620
4122909,SALTO DO ITARARE,84945
4123006,SALTO DO LONTRA,85670
4123105,SANTA AMELIA,86370
4123204,SANTA CECILIA DO PAVAO,86225
4123303,SANTA CRUZ DE MONTE CASTELO,87920
4123402,SANTA FE,86770
4123501,SANTA HELENA,85892
4123600,SANTA INES,86660
4123709,SANTA ISABEL DO IVAI,87910
4123808,SANTA IZABEL DO OESTE,85650
4123824,SANTA LUCIA,85795
4123857,SANTA MARIA DO OESTE,85230
4123907,SANTA MARIANA,86350
4123956,SANTA MONICA,87915
4124004,SANTANA DO ITARARE,84970
4124020,SANTA TEREZA DO OESTE,85825
4124053,SANTA TEREZINHA DE ITAIPU,85875
4124103,SANTO ANTONIO DA PLATINA,86430
4124202,SANTO ANTONIO DO CAIUA,87730
4124301,SANTO ANTONIO DO PARAISO,86315
4124400,SANTO ANTONIO DO SUDOESTE,85710
4124509,SANTO INACIO,86650
4124608,SAO CARLOS DO IVAI,87770
4124707,SAO JERONIMO DA SERRA,86270
4124806,SAO JOAO,85570
4124905,SAO JOAO DO CAIUA,87740
4125001,SAO JOAO DO IVAI,86930
4125100,SAO JOAO DO TRIUNFO,84150
4125209,SAO JORGE D OESTE,85575
4125308,SAO JORGE DO IVAI,87190
4125357,SAO JORGE DO PATROCINIO,87555
4125407,SAO JOSE DA BOA VISTA,84980
4125456,SAO JOSE DAS PALMEIRAS,85898
4125506,SAO JOSE DOS PINHAIS,83000
4125555,SAO MANOEL,87215
4125605,SAO MATEUS DO SUL,83900
4125704,SAO MIGUEL DO IGUACU,85877
